ID,County,Year,Salaries
377,Kilkenny,2014,"23,552"
378,Wexford,2014,"22,600"
379,Waterford,2014,"24,408"
380,Cork,2014,"25,436"
381,Kerry,2014,"21,488"
382,Dublin,2014,"30,978"
383,Kildare,2014,"26,150"
384,Louth,2014,"22,450"
385,Meath,2014,"24,970"
386,Wicklow,2014,"25,282"
387,Laois,2014,"22,387"
388,Longford,2014,"20,803"
389,Offaly,2014,"20,602"
390,Westmeath,2014,"22,160"
391,Leitrim,2015,"22,444"
392,Sligo,2015,"23,555"
393,Cavan,2015,"22,331"
394,Donegal,2015,"18,590"
395,Monaghan,2015,"21,578"
396,Galway,2015,"23,725"
397,Mayo,2015,"21,039"
398,Roscommon,2015,"20,582"
399,Clare,2015,"22,801"
400,Limerick,2015,"27,577"
401,Tipperary,2015,"23,750"
402,Carlow,2015,"25,168"
403,Kilkenny,2015,"24,478"
404,Wexford,2015,"23,538"
405,Waterford,2015,"25,093"
406,Cork,2015,"25,859"
407,Kerry,2015,"22,037"
408,Dublin,2015,"32,189"
409,Kildare,2015,"27,640"
410,Louth,2015,"23,390"
411,Meath,2015,"26,226"
412,Wicklow,2015,"26,747"
413,Laois,2015,"22,534"
414,Longford,2015,"21,562"
415,Offaly,2015,"21,082"
416,Westmeath,2015,"22,789"
417,Leitrim,2016,"23,412"
418,Sligo,2016,"24,444"
419,Cavan,2016,"22,867"
420,Donegal,2016,"19,412"
421,Monaghan,2016,"22,101"
422,Galway,2016,"24,515"
423,Mayo,2016,"22,076"
424,Roscommon,2016,"21,550"
425,Clare,2016,"23,423"
426,Limerick,2016,"28,521"
427,Tipperary,2016,"24,913"
428,Carlow,2016,"25,116"
429,Kilkenny,2016,"24,461"
430,Wexford,2016,"23,588"
431,Waterford,2016,"25,658"
432,Cork,2016,"26,495"
433,Kerry,2016,"23,197"
434,Dublin,2016,"33,635"
435,Kildare,2016,"27,999"
436,Louth,2016,"23,251"
437,Meath,2016,"26,282"
438,Wicklow,2016,"26,854"
439,Laois,2016,"22,676"
440,Longford,2016,"21,668"
441,Offaly,2016,"21,376"
442,Westmeath,2016,"23,366"
