id, County, Year, MeanPrice, SalesValue, SalesVolume,Type
482, Longford,2018,90117.58,48.2,527,Filling
483, Louth,2018,186580.67,318.6,1697,Filling
484, Mayo,2018,115091.08,160.7,1403,Filling
485, Meath,2018,252838.42,687.2,2704,Filling
486, Monaghan,2018,125813.92,63.5,508,Filling
487, Offaly,2018,128184.75,94.9,741,Filling
488, Roscommon,2018,105332.08,96.9,918,Filling
489, Sligo,2018,126392.17,123.1,977,Filling
490, Tipperary,2018,122359.25,216.7,1776,Filling
491, Waterford,2018,155917.42,257.8,1657,Filling
492, Westmeath,2018,154306.33,170.8,1106,Filling
493, Wexford,2018,159029.67,305.5,1911,Filling
494, Wicklow,2018,310767.33,541.6,1744,Filling
495, Carlow,2019,162247.62,116.4,715.5,Filling
496, Cavan,2019,125387.38,106.5,846,Filling
497, Clare,2019,152582.12,210.75,1378.5,Filling
498, Cork,2019,236935.12,1686.75,7074,Filling
499, Donegal,2019,106410.5,165.9,1551,Filling
500, Dublin,2019,385128.5,7963.35,20643,Filling
501, Galway,2019,206866,601.5,2883,Filling
502, Kerry,2019,146502.88,256.2,1752,Filling
503, Kildare,2019,272629.12,949.8,3469.5,Filling
504, Kilkenny,2019,176591.5,181.2,1014,Filling
505, Laois,2019,157402,150.45,955.5,Filling
506, Leitrim,2019,102264.5,44.55,436.5,Filling
507, Limerick,2019,185078.38,433.5,2313,Filling
508, Longford,2019,107145.75,49.95,462,Filling
509, Louth,2019,195581,358.2,1824,Filling
510, Mayo,2019,115791.88,164.85,1423.5,Filling
511, Meath,2019,263164.12,711.6,2694,Filling
512, Monaghan,2019,122894.88,52.2,426,Filling
513, Offaly,2019,141917.38,102.75,735,Filling
514, Roscommon,2019,115261.88,91.2,799.5,Filling
515, Sligo,2019,137140.88,117.15,858,Filling
516, Tipperary,2019,128540.38,230.7,1800,Filling
517, Waterford,2019,168727.25,275.1,1629,Filling
518, Westmeath,2019,158779.88,208.5,1338,Filling
519, Wexford,2019,167696.25,335.1,1996.5,Filling
520, Wicklow,2019,307009.12,586.95,1894.5,Filling
